"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;"C1,C2,C3";"C_0805_2012Metric";3;"100n";;;
2;"P1";"Pin_Header_Straight_2x20";1;"CONN_02X20";;;
3;"Panel-1,Panel-2";"IDC-Header_2x08_P2.54mm_Vertical";2;"CONN_02X08";;;
4;"P20,P21";"1pin";2;"CONN_01X01";;;
5;"R1";"R_0805_2012Metric";1;"10k";;;
6;"P5,P4";"Pin_Header_Straight_1x01";2;"GND";;;
7;"C5";"CP_Radial_D6.3mm_P2.50mm";1;"22u";;;
8;"P3";"Pin_Header_Straight_1x01";1;"RxD";;;
9;"C6";"C_1206_3216Metric";1;"22u";;;
10;"P2";"Pin_Header_Straight_1x01";1;"+5V";;;
11;"P6,P8";"Pin_Header_Straight_1x02";2;"CONN_01X02";;;
12;"P7";"Pin_Header_Straight_1x02";1;"CONN_02X01";;;
13;"U1,U2,U3";"SOIC-20W_7.5x12.8mm_P1.27mm";3;"74HCT245";;;
14;"REF**";"Symbol_OSHW-Logo_SilkScreen";1;"Symbol_OSHW-Logo_SilkScreen";;;
15;"R_PHOTO1";"R_0805_2012Metric";1;"1K";;;
16;"J_PHOTO1";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Conn_01x03";;;
17;"C_PHOTO1";"C_0805_2012Metric";1;"100nF";;;
